percentile,evasion,se
P0-10,0.035676209640993474,0.036286799999999994
P10-20,0.017484837598399708,0.008656
P20-30,0.01373450379295744,0.0092192
P30-40,0.013673665734059365,0.007701000000000001
P40-50,0.01070770562813048,0.0065226
P50-60,0.010920076384913711,0.004945100000000001
P60-70,0.019681891355051686,0.009287
P70-80,0.01980928481719911,0.007958299999999998
P80-90,0.027091449159209382,0.008585999999999996
P90-95,0.018310760490405118,0.007637600000000001
P95-99,0.034313669460097125,0.011416300000000004
P99-99.5,0.049763161933137165,0.026688800000000006
P99.5-99.9,0.06202468088320145,0.027562600000000007
P99.9-P99.95,0.0859738343660286,0.030897099999999997
P99.95-P99.99,0.13086609377843,0.04651920000000001
P99.99-P100,0.26258678358820525,0.05531339999999996
