contract_no,1,2,3,4,5,6,7,8,9,10
20GOH0009,0.20035812741464468,0.14114810951484846,0.08924894436927978,0.0845867964741884,0.07794243445553622,0.06993961474772732,0.05999238433662454,0.05335829498652314,0.05017993133690814,0.17324536236371932
20H00087,0.2535343469432167,0.20430102946662748,0.12938779229510372,0.11630471047149601,0.07088259257041016,0.06559695493698565,0.043703148361753943,0.0367337979297907,0.024467868515570042,0.05508775850904563
20L00186,0.18467616793153135,0.10534649810497884,0.07451779748420158,0.06538772030009658,0.061693124169368785,0.06169311367894466,0.0591694151122492,0.05117322565416074,0.051166323230236586,0.2851766143342317
20O00096,0.4259597787560814,0.16908963471219768,0.1406499973399806,0.07320902529081758,0.045396428022316936,0.03788195651657827,0.03525072766762288,0.03491054327177599,0.0233784683229686,0.014273440099660244
20O00097,0.2909097963489886,0.21761828073401882,0.1827317187185925,0.08343226761239529,0.05541519655885864,0.03947414947876022,0.03552521435444914,0.033057681590299454,0.022108264144003312,0.039727430459633936
20O00098,0.3215135101085707,0.17406056868581032,0.1659823399457794,0.1363538707200806,0.068050818251139,0.031508294956579745,0.027292392857685602,0.022612298558596297,0.019187072332775546,0.03343883358298275
20O00099,0.47205852440355855,0.21341395493788134,0.0767790615843637,0.06706455009037716,0.04011117725323951,0.03307544531662417,0.03253586942456895,0.029236572279207496,0.017405792263158762,0.018319052447020534
20O00100,0.28087143335535797,0.26843559550310114,0.23150456675181164,0.07272085520209241,0.04137582625827245,0.034309656780973155,0.02450831043154101,0.02270799247638408,0.015730384874012064,0.007835378366453974
20O00101,0.3467006628182174,0.13163527225820676,0.11888376862802677,0.11153737399208873,0.0735219715618417,0.06990248329068487,0.05567952768940509,0.03938124120188526,0.017904524484485443,0.034853174075157915
20O00102,0.4821487977862396,0.24202572005568088,0.09038953648968139,0.04100273371699904,0.04097956208426599,0.03815473995524629,0.028554812843676742,0.021142463558667876,0.009700397052898024,0.005901236456644147
20O00103,0.5458436305720453,0.17216339189085206,0.062226728069606725,0.058180113388875576,0.05475772580367464,0.05187002212323788,0.025257294132972317,0.018083168504502818,0.0071668308848065534,0.004451094629426158
20O00104,0.5669490097902261,0.1577821050975428,0.05705368008641194,0.05368521317979745,0.042725357633278754,0.03927318211312179,0.03654532063846164,0.029193084473425255,0.009431377994315626,0.007361668993418719
